;age_exact;Mspline;Sspline
1;6;0.608693934681316;3.7207241336823e-06
2;6.25;0.539600841918443;3.21634142852467e-06
3;6.5;0.473218198396097;2.73174250398078e-06
4;6.75;0.409357939609794;2.26534506930776e-06
5;7;0.347877769605589;1.81560455025931e-06
6;7.25;0.288710229574523;1.38200084398576e-06
7;7.5;0.23229922729444;9.71009728401029e-07
8;7.75;0.179348279613389;5.92002360244592e-07
9;8;0.130434525837565;2.52637973874315e-07
10;8.25;0.0858339058682667;-4.24337838200728e-08
11;8.5;0.0455344790894614;-2.91364661952898e-07
12;8.75;0.00946314400898984;-4.93193079931231e-07
13;9;-0.0224723658169665;-6.47625305605359e-07
14;9.25;-0.0505353512579596;-7.58289925073541e-07
15;9.5;-0.0750955400909596;-8.30869897328057e-07
16;9.75;-0.0964550847888823;-8.70391512419744e-07
17;10;-0.114855074590732;-8.81265199481618e-07
18;10.25;-0.130492906104305;-8.67373993962417e-07
19;10.5;-0.143400935549071;-8.3202308864827e-07
20;10.75;-0.153616783203063;-7.78150464952887e-07
21;11;-0.161188204240169;-7.0837626697795e-07
22;11.25;-0.16614179953174;-6.252989777078e-07
23;11.5;-0.168406671193498;-5.32353884530323e-07
24;11.75;-0.167901803161381;-4.32881340772795e-07
25;12;-0.164564659421877;-3.29834300094589e-07
26;12.25;-0.158348155082273;-2.25823006072545e-07
27;12.5;-0.149280052190694;-1.23174862975972e-07
28;12.75;-0.137743467476124;-2.40624822289703e-08
29;13;-0.124217715631524;6.9550557535436e-08
30;13.25;-0.109133813845705;1.55934443579753e-07
31;13.5;-0.0928795836129872;2.33528612003653e-07
32;13.75;-0.0758040686528894;3.00903025385324e-07
33;14;-0.0582246980588792;3.57740557621611e-07
34;14.25;-0.0404285000255804;4.04028278833124e-07
35;14.5;-0.0226773771112221;4.40256015421525e-07
36;14.75;-0.00520804267219432;4.67031813666807e-07
37;15;0.0117611506656381;4.84828556190919e-07
38;15.25;0.0279727122216507;4.93826893377403e-07
39;15.5;0.0433816551158195;4.9484797948196e-07
40;15.75;0.0579839871320473;4.88763170602979e-07
41;16;0.0717774248390519;4.76375776381488e-07
42;16.25;0.0847611993446193;4.58426753890961e-07
43;16.5;0.0969358830459122;4.35599867287806e-07
44;16.75;0.108304384325908;4.08530114182071e-07
45;17;0.118904242954038;3.77913685012388e-07
46;17.25;0.128773090299688;3.44383547679072e-07
47;17.5;0.13797801747198;3.0845819876113e-07
48;17.75;0.14660898807842;2.70606425711861e-07
49;18;0.15474959644904;2.31260728567051e-07
